priority,prospect,type,target_asset,submission_url,angle,status,notes
1,MCP.Directory,MCP directory,MCP server,https://mcp.directory/submit,"Project-scoped product-feedback MCP server",ready,"Requires a public GitHub repository URL"
1,mcpub,MCP directory,MCP server,https://mcpub.dev/,"Feedback triage and backlog management for coding agents",ready,"Offers GitHub/server submission"
1,Product Hunt,product launch,Upstep,https://www.producthunt.com/launch,"Embedded feedback plus MCP for AI coding agents",account_required,"Use a personal maker account; prepare gallery and first comment"
1,AlternativeTo,software directory,Upstep,https://alternativeto.net/faq/#add-a-new-application,"Alternative to Canny, Featurebase, Frill, Nolt and UserVoice",account_required,"New accounts currently wait one week before submitting"
1,G2,software review directory,Upstep,https://www.g2.com/products/new,"Customer feedback and feature request management",account_required,"Create product profile then request genuine customer reviews"
1,Capterra,software review directory,Upstep,https://www.capterra.com/vendors/sign-up,"Feedback management and product roadmap software",account_required,"Select the narrowest relevant categories"
2,DevHunt,developer launch directory,Upstep,https://devhunt.org/,"Developer-first feedback SDKs and MCP",research,"Verify current submission link before submitting"
2,BetaList,startup launch directory,Upstep,https://betalist.com/submit,"Feedback infrastructure for web and mobile products",research,"Prepare founder and launch details"
2,Uneed,curated startup directory,Upstep,https://www.uneed.best/submit-a-tool,"Simple embedded feedback with a usable free plan",research,"Use product screenshots, not generic artwork"
2,SaaSHub,software directory,Upstep,https://www.saashub.com/services/submit,"Canny and Featurebase alternative",research,"Check whether Upstep already has an unclaimed page"
2,SaaSWall,SaaS directory,Upstep,https://saaswall.co/,"Feedback and roadmap category",ready,"Free submission advertised"
2,MCP server lists,GitHub resource pages,MCP server,https://github.com/search?q=awesome+mcp+servers&type=repositories,"Add Upstep to relevant curated MCP lists",research,"Open a focused PR only where contribution rules allow hosted servers"
2,Flutter resource lists,GitHub resource pages,Flutter guide,https://github.com/search?q=awesome+flutter+resources&type=repositories,"Feedback collection guide and maintained Flutter SDK",research,"Pitch guide or package only to directly relevant sections"
2,Next.js resource lists,GitHub resource pages,Next.js guide,https://github.com/search?q=awesome+nextjs+resources&type=repositories,"Client-safe embedded feedback tutorial",research,"Follow each repository's contribution rules"
3,Product management newsletters,editorial outreach,roadmap template,,"Free Now-Next-Later builder with Markdown export",prospecting,"Find editors who have previously covered templates or prioritization"
3,Product management resource pages,resource outreach,RICE calculator,,"Free browser-based RICE scoring tool",prospecting,"Pitch the tool as an addition, never ask for a homepage link"
3,Flutter newsletters,editorial outreach,Flutter guide,,"Native product feedback implementation tutorial",prospecting,"Offer technical review access and tested code"
